Customer ID,Income (USD),Loan Amount Request (USD),Current Loan Expenses (USD),Credit Score,No. of Defaults,Property Age,Co-Applicant,Property Price,Type of Employment_missing_val,Type of Employment_Laborers,Type of Employment_Sales staff,Type of Employment_Core staff,Type of Employment_Managers,Type of Employment_Drivers,Type of Employment_Accountants,Expense Type 1_N,Profession_Working,Profession_Commercial associate,Profession_Pensioner,Dependents_2.0,Dependents_3.0,Dependents_1.0,Dependents_4.0,Dependents_0,Location_Semi-Urban,Location_Rural
C-25431,1731.99,27709.83,140.16,739.82,1,1731.99,1.0,52045.88,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
C-30796,2814.17,188858.71,510.05,700.24,0,2814.17,1.0,268479.69,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
C-41817,2121.47,134626.34,444.14,707.14,0,2121.47,1.0,233499.25,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
C-20088,2901.07,240936.3,670.18,765.9,0,2901.07,1.0,386796.09,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
C-24848,2222.435,25499.21,278.08,690.62,1,2223.25,1.0,35278.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
C-33563,2069.29,104248.66,335.17,735.62,0,2069.29,1.0,129824.27,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
C-25659,2222.435,112172.96,346.67,768.18,0,2223.25,1.0,137905.05,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
C-14991,1717.69,80456.84,403.18,697.73,0,1717.69,1.0,111191.58,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
C-32904,1515.54,72297.39,439.65,751.95,0,1515.54,1.0,134809.06,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
C-24723,2222.435,189895.78,523.14,757.77,0,2223.25,1.0,324744.34,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
